id,eki_representation,wikidata_code
1,Sg,Q110786
2,N,Q131105
3,G,Q146233
4,P,Q857325
5,Ill,Q474668
6,In,Q282031
7,El,Q394253
8,All,Q655020
9,Ad,Q281954
10,Abl,Q156986
11,Tr,Q950170
12,Ter,Q747019
13,Es,Q148465
14,Ab,Q319822
15,Kom,Q838581
16,Pl,Q146786
17,Rpl,
18,Adt,Q65262551
19,Sup,Q548470
20,Ips,Q1509829
21,Inf,Q179230
22,Ger,Q12360803
23,Pts,Q10345583
24,Pr,Q192613
25,Ps,Q1317831
26,Pt,Q1994301
27,Ind,Q682111
28,Ipf,Q12547192
29,Knd,Q625581
30,Kvt,Q7272884
31,Imp,Q22716
32,ID,Q83034
33,1,Q21714344
34,2,Q51929049
35,3,Q51929074
36,_,Q1478451
